objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,event,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,,,,,,,
coll063,DSC00959.jpg,,,DSC00959.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll064,DSC00960.jpg,,,DSC00960.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll065,DSC00961.jpg,,,DSC00961.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll066,DSC00962.jpg,,,DSC00962.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll067,DSC00963.jpg,,,DSC00963.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll068,DSC00964.jpg,,,DSC00964.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll069,DSCN3493.jpg,,,DSCN3493.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll070,DSCN3494.jpg,,,DSCN3494.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll071,DSCN3495.jpg,,,DSCN3495.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll072,DSCN3525.jpg,,,DSCN3525.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll073,DSCN3527.jpg,,,DSCN3527.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll074,DSCN3528.jpg,,,DSCN3528.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll075,DSCN3530.jpg,,,DSCN3530.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll076,DSCN3558.jpg,,,DSCN3558.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll077,DSCN3559.jpg,,,DSCN3559.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll078,DSCN3560.jpg,,,DSCN3560.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll079,DSCN3561.jpg,,,DSCN3561.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll080,DSCN3565.jpg,,,DSCN3565.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll081,DSCN3603.jpg,,,DSCN3603.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll082,DSCN3604.jpg,,,DSCN3604.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll083,DSCN3605.jpg,,,DSCN3605.jpg,,1900,,,,,,,,,,image/jpeg,,,,,,,,,,,,
